"","x"
"1","true"
"2","false"
"3","true"
"4","true"
"5","false"
"6","true"
"7","true"
"8","true"
"9","true"
"10","true"
"11","false"
"12","false"
"13","true"
"14","true"
"15","false"
"16","false"
"17","false"
"18","true"
"19","true"
"20","false"
"21","false"
"22","false"
"23","true"
"24","true"
"25","false"
"26","false"
"27","true"
"28","true"
"29","false"
"30","true"
"31","true"
"32","false"
"33","true"
"34","true"
"35","false"
"36","false"
"37","true"
"38","true"
"39","true"
"40","false"
"41","true"
"42","false"
"43","true"
"44","true"
"45","false"
"46","true"
"47","false"
"48","false"
"49","true"
"50","false"
"51","true"
"52","true"
"53","false"
"54","true"
"55","true"
"56","true"
"57","false"
"58","true"
"59","true"
"60","false"
"61","true"
"62","true"
"63","false"
"64","true"
"65","true"
"66","false"
"67","true"
"68","false"
"69","true"
"70","false"
"71","false"
"72","true"
"73","false"
"74","false"
"75","true"
"76","true"
"77","true"
"78","true"
"79","true"
"80","true"
"81","true"
"82","true"
"83","false"
"84","false"
"85","false"
"86","true"
"87","true"
"88","false"
"89","true"
"90","true"
"91","false"
"92","false"
"93","false"
"94","false"
"95","false"
"96","false"
"97","true"
"98","false"
"99","true"
"100","false"
"101","true"
"102","true"
"103","true"
"104","false"
"105","true"
"106","false"
"107","true"
"108","true"
"109","false"
"110","true"
"111","true"
"112","false"
"113","true"
"114","true"
"115","false"
"116","true"
"117","true"
"118","false"
"119","false"
"120","false"
"121","false"
"122","false"
"123","false"
"124","false"
"125","true"
"126","true"
"127","false"
"128","false"
"129","true"
"130","false"
"131","true"
"132","false"
"133","true"
"134","true"
"135","false"
"136","true"
"137","false"
"138","false"
"139","false"
"140","false"
"141","true"
"142","true"
"143","true"
"144","false"
"145","true"
"146","false"
"147","true"
"148","true"
"149","true"
"150","true"
"151","true"
"152","true"
"153","true"
"154","false"
"155","false"
"156","true"
"157","true"
"158","true"
"159","false"
"160","false"
"161","false"
"162","true"
"163","true"
"164","true"
"165","false"
"166","false"
"167","true"
"168","false"
"169","true"
"170","false"
"171","false"
"172","true"
"173","true"
"174","true"
"175","false"
"176","true"
"177","false"
"178","true"
"179","true"
"180","true"
"181","false"
"182","true"
"183","false"
"184","false"
"185","false"
"186","false"
"187","true"
"188","false"
"189","true"
"190","true"
"191","true"
"192","true"
"193","false"
"194","false"
"195","false"
"196","false"
"197","false"
"198","true"
"199","true"
"200","false"
"201","true"
"202","false"
"203","false"
"204","false"
"205","false"
"206","true"
"207","false"
"208","true"
"209","false"
"210","true"
"211","true"
"212","true"
"213","true"
"214","true"
"215","false"
"216","false"
"217","false"
"218","true"
"219","true"
"220","true"
"221","true"
"222","true"
"223","true"
"224","true"
"225","true"
"226","true"
"227","false"
"228","true"
"229","true"
"230","false"
"231","true"
"232","true"
"233","true"
"234","true"
"235","false"
"236","true"
"237","true"
"238","true"
"239","true"
"240","false"
"241","false"
"242","true"
"243","false"
"244","true"
"245","true"
"246","true"
"247","false"
"248","false"
"249","true"
"250","false"
"251","true"
"252","false"
"253","false"
"254","false"
"255","true"
"256","true"
"257","true"
"258","false"
"259","true"
"260","true"
"261","true"
"262","false"
"263","true"
"264","false"
"265","true"
"266","false"
"267","true"
"268","false"
"269","false"
"270","true"
"271","false"
"272","true"
"273","false"
"274","true"
"275","true"
"276","true"
"277","false"
"278","false"
"279","false"
"280","true"
"281","true"
"282","false"
"283","false"
"284","true"
"285","true"
"286","true"
"287","true"
"288","true"
"289","true"
"290","true"
"291","true"
"292","false"
"293","true"
"294","true"
"295","true"
"296","true"
"297","false"
"298","false"
"299","true"
"300","true"
"301","true"
"302","true"
"303","true"
"304","false"
"305","true"
"306","true"
"307","true"
"308","true"
"309","true"
"310","false"
"311","false"
"312","false"
"313","true"
"314","false"
"315","false"
"316","true"
"317","true"
"318","true"
"319","true"
"320","false"
"321","false"
"322","true"
"323","true"
"324","true"
"325","false"
"326","false"
"327","true"
"328","false"
"329","true"
"330","true"
"331","false"
"332","false"
"333","true"
"334","true"
"335","true"
"336","false"
"337","false"
"338","false"
"339","false"
"340","true"
"341","false"
"342","false"
"343","false"
"344","false"
"345","true"
"346","true"
"347","false"
"348","true"
"349","true"
"350","false"
"351","false"
"352","true"
"353","false"
"354","true"
"355","true"
"356","true"
"357","true"
"358","false"
"359","true"
"360","false"
"361","true"
"362","false"
"363","true"
"364","false"
"365","true"
"366","false"
"367","true"
"368","true"
"369","false"
"370","true"
"371","true"
"372","true"
"373","true"
"374","false"
"375","true"
"376","true"
"377","true"
"378","false"
"379","true"
"380","false"
"381","true"
"382","false"
"383","true"
"384","true"
"385","true"
"386","false"
"387","false"
"388","true"
"389","false"
"390","true"
